ApplicationDocsID	ApplicationDocsTypeID	ApplNo	SubmissionType	SubmissionNo	ApplicationDocsTitle	ApplicationDocsURL	ApplicationDocsDate
41525	3	020657	SUPPL     	5	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-966S001_Sporanox.cfm	2001-10-26 00:00:00
41526	3	020658	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020658_requip_toc.cfm	2007-07-17 00:00:00
41527	3	020658	SUPPL     	13	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020658Orig1s013.pdf	2016-02-03 00:00:00
41528	3	020659	SUPPL     	13	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020659s013_020680s011_Norvir.cfm	2005-04-27 00:00:00
41529	3	020659	SUPPL     	33	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020659_S033_NORVIR.pdf	2007-11-19 00:00:00
41530	3	020659	SUPPL     	34	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020659_S034_NORVIR.pdf	2007-11-19 00:00:00
41531	3	020665	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/020665_s000.pdf	2010-03-16 00:00:00
41532	3	020665	SUPPL     	4	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020665s004_diovan_toc.cfm	2003-08-08 00:00:00
41533	3	020665	SUPPL     	16	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-283s001_Diovan.cfm	2002-08-14 00:00:00
41534	3	020667	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020667.cfm	1997-07-01 00:00:00
41535	3	020668	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/1998/020668_S002_Lexxel Tablets.pdf	2007-07-06 00:00:00
41536	3	020670	SUPPL     	9	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020670s009Approv.pdf	2014-07-02 00:00:00
41537	3	020670	SUPPL     	14	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/020670Orig1s014.pdf	2012-11-09 00:00:00
41538	3	020676	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020676_vagistat-1_toc.cfm	2003-08-08 00:00:00
41539	3	020677	SUPPL     	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20-677s001s002_Zagam.cfm	2005-01-06 00:00:00
41540	3	020677	SUPPL     	3	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20-677s003_Zagam.cfm	2005-01-06 00:00:00
41541	3	020678	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020678ap.pdf 	2010-01-05 00:00:00
41542	3	020678	SUPPL     	3	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-678s003_Clinimax%20E.cfm	2000-04-12 00:00:00
41543	3	020680	SUPPL     	11	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020659s013_020680s011_Norvir.cfm	2005-04-27 00:00:00
41544	3	020682	SUPPL     	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020682S001_Glyset.cfm	1999-08-16 00:00:00
41545	3	020685	SUPPL     	5	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020685_s005ap.pdf	1997-02-19 00:00:00
41546	3	020685	SUPPL     	22	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020685s022.pdf	1998-12-17 00:00:00
41547	3	020685	SUPPL     	43	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-685-S043.pdf	2004-05-06 00:00:00
